"Year","Sex","agegroup","UF","pop"
2010,"f","80-84","Rio Grande Do Norte",18305
2010,"f","80-84","Rio Grande Do Sul",77531
2010,"f","80-84","Rondonia",3423
2010,"f","80-84","Roraima",831
2010,"f","80-84","Santa Catarina",30013
2010,"f","80-84","Sao Paulo",249400
2010,"f","80-84","Sergipe",9038
2010,"f","80-84","Tocantins",4271
2010,"f","85","Acre",1511
2010,"f","85","Alagoas",10784
2010,"f","85","Amapa",1336
2010,"f","85","Amazonas",7730
2010,"f","85","Bahia",68387
2010,"f","85","Ceara",41775
2010,"f","85","Distrito Federal",6344
2010,"f","85","Espirito Santo",13952
2010,"f","85","Goias",16099
2010,"f","85","Maranhao",23142
2010,"f","85","Mato Grosso",5745
2010,"f","85","Mato Grosso Do Sul",7777
2010,"f","85","Minas Gerais",91546
2010,"f","85","Para",18799
2010,"f","85","Paraiba",23461
2010,"f","85","Parana",36518
2010,"f","85","Pernambuco",40930
2010,"f","85","Piaui",13385
2010,"f","85","Rio De Janeiro",89374
2010,"f","85","Rio Grande Do Norte",17324
2010,"f","85","Rio Grande Do Sul",58489
2010,"f","85","Rondonia",2390
2010,"f","85","Roraima",694
2010,"f","85","Santa Catarina",21668
2010,"f","85","Sao Paulo",183899
2010,"f","85","Sergipe",8247
2010,"f","85","Tocantins",3656
2010,"m","0-4","Acre",46211
2010,"m","0-4","Alagoas",149132
2010,"m","0-4","Amapa",40533
2010,"m","0-4","Amazonas",204945
2010,"m","0-4","Bahia",579001
2010,"m","0-4","Ceara",349320
2010,"m","0-4","Distrito Federal",108180
2010,"m","0-4","Espirito Santo",136244
2010,"m","0-4","Goias",234909
2010,"m","0-4","Maranhao",345051
2010,"m","0-4","Mato Grosso",136316
2010,"m","0-4","Mato Grosso Do Sul",102995
2010,"m","0-4","Minas Gerais",684629
2010,"m","0-4","Para",407167
2010,"m","0-4","Paraiba",155311
2010,"m","0-4","Parana",386967
2010,"m","0-4","Pernambuco",377368
2010,"m","0-4","Piaui",134741
2010,"m","0-4","Rio De Janeiro",542767
2010,"m","0-4","Rio Grande Do Norte",131289
2010,"m","0-4","Rio Grande Do Sul",349337
2010,"m","0-4","Rondonia",69743
2010,"m","0-4","Roraima",25967
2010,"m","0-4","Santa Catarina",218849
2010,"m","0-4","Sao Paulo",1518720
2010,"m","0-4","Sergipe",91382
2010,"m","0-4","Tocantins",67442
2010,"m","10-14","Acre",45015
2010,"m","10-14","Alagoas",173295
2010,"m","10-14","Amapa",40405
2010,"m","10-14","Amazonas",205771
2010,"m","10-14","Bahia",690972
2010,"m","10-14","Ceara",437021
2010,"m","10-14","Distrito Federal",112035
2010,"m","10-14","Espirito Santo",155474
2010,"m","10-14","Goias",273408
2010,"m","10-14","Maranhao",372445
2010,"m","10-14","Mato Grosso",146100
2010,"m","10-14","Mato Grosso Do Sul",114434
2010,"m","10-14","Minas Gerais",869775
2010,"m","10-14","Para",431115
2010,"m","10-14","Paraiba",179647
2010,"m","10-14","Parana",469804
2010,"m","10-14","Pernambuco",429335
2010,"m","10-14","Piaui",160179
2010,"m","10-14","Rio De Janeiro",671554
2010,"m","10-14","Rio Grande Do Norte",151688
2010,"m","10-14","Rio Grande Do Sul",444691
2010,"m","10-14","Rondonia",80988
2010,"m","10-14","Roraima",26642
2010,"m","10-14","Santa Catarina",268382
2010,"m","10-14","Sao Paulo",1710367
2010,"m","10-14","Sergipe",107296
2010,"m","10-14","Tocantins",74749
2010,"m","15-19","Acre",38932
2010,"m","15-19","Alagoas",158586
2010,"m","15-19","Amapa",36980
2010,"m","15-19","Amazonas",185049
2010,"m","15-19","Bahia",677584
2010,"m","15-19","Ceara",431255
2010,"m","15-19","Distrito Federal",110206
2010,"m","15-19","Espirito Santo",153454
2010,"m","15-19","Goias",271901
2010,"m","15-19","Maranhao",347674
2010,"m","15-19","Mato Grosso",146195
2010,"m","15-19","Mato Grosso Do Sul",115595
2010,"m","15-19","Minas Gerais",879822
2010,"m","15-19","Para",402171
2010,"m","15-19","Paraiba",180181
2010,"m","15-19","Parana",476099
2010,"m","15-19","Pernambuco",413048
2010,"m","15-19","Piaui",154060
2010,"m","15-19","Rio De Janeiro",647140
2010,"m","15-19","Rio Grande Do Norte",151873
2010,"m","15-19","Rio Grande Do Sul",448518
2010,"m","15-19","Rondonia",79791
2010,"m","15-19","Roraima",24025
2010,"m","15-19","Santa Catarina",279765
2010,"m","15-19","Sao Paulo",1689753
2010,"m","15-19","Sergipe",102533
2010,"m","15-19","Tocantins",71646
2010,"m","20-24","Acre",35637
2010,"m","20-24","Alagoas",142745
2010,"m","20-24","Amapa",34452
2010,"m","20-24","Amazonas",172338
2010,"m","20-24","Bahia",656004
2010,"m","20-24","Ceara",412066
2010,"m","20-24","Distrito Federal",121937
2010,"m","20-24","Espirito Santo",164733
2010,"m","20-24","Goias",282815
2010,"m","20-24","Maranhao",331257
2010,"m","20-24","Mato Grosso",147534
2010,"m","20-24","Mato Grosso Do Sul",112712
2010,"m","20-24","Minas Gerais",885987
2010,"m","20-24","Para",380457
2010,"m","20-24","Paraiba",173748
2010,"m","20-24","Parana",457833
2010,"m","20-24","Pernambuco",408323
2010,"m","20-24","Piaui",151038
2010,"m","20-24","Rio De Janeiro",655399.000000001
2010,"m","20-24","Rio Grande Do Norte",157120
2010,"m","20-24","Rio Grande Do Sul",443785
2010,"m","20-24","Rondonia",77796
2010,"m","20-24","Roraima",22094
2010,"m","20-24","Santa Catarina",291047
2010,"m","20-24","Sao Paulo",1859731
2010,"m","20-24","Sergipe",100262
2010,"m","20-24","Tocantins",67266
2010,"m","25-29","Acre",33794
2010,"m","25-29","Alagoas",132595
2010,"m","25-29","Amapa",31545
2010,"m","25-29","Amazonas",163289
2010,"m","25-29","Bahia",651338
2010,"m","25-29","Ceara",369351
2010,"m","25-29","Distrito Federal",129171
2010,"m","25-29","Espirito Santo",162995
2010,"m","25-29","Goias",280820
2010,"m","25-29","Maranhao",297590
2010,"m","25-29","Mato Grosso",146091
2010,"m","25-29","Mato Grosso Do Sul",109509
2010,"m","25-29","Minas Gerais",863163
2010,"m","25-29","Para",357363
2010,"m","25-29","Paraiba",162771
2010,"m","25-29","Parana",442564
2010,"m","25-29","Pernambuco",384161
2010,"m","25-29","Piaui",136860
2010,"m","25-29","Rio De Janeiro",674224
2010,"m","25-29","Rio Grande Do Norte",144821
2010,"m","25-29","Rio Grande Do Sul",451658
2010,"m","25-29","Rondonia",74311
2010,"m","25-29","Roraima",21656
2010,"m","25-29","Santa Catarina",289897
2010,"m","25-29","Sao Paulo",1906623
2010,"m","25-29","Sergipe",93183
2010,"m","25-29","Tocantins",63263
2010,"m","30-34","Acre",29499
2010,"m","30-34","Alagoas",119100
2010,"m","30-34","Amapa",27392
2010,"m","30-34","Amazonas",144285
2010,"m","30-34","Bahia",580774
2010,"m","30-34","Ceara",324331
2010,"m","30-34","Distrito Federal",120048
2010,"m","30-34","Espirito Santo",149722
